Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,,ACE PHARMACEUTICALS
"PRIMAQUINE 15 mg (base), comprimé",primaquine (diphosphate),, ,,,,SANOFI-AVENTIS
"PRIMAQUINE 7,5 mg (base), comprimé",primaquine (diphosphate),, ,,,,DURBIN PLC
"TRECATOR 250 mg, comprimé",ethionamide,, ,,,,WYETH PHARMACEUTICALS INC
"VERMOX 500 mg, comprimé",mébendazole,, ,,,,JANSSEN-CILAG
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,,,GENZYME CORPORATION
"MOLGRAMOSTIM 300 µg, solution pour inhalation par nébuliseur",molgramostim,, ,,,,SAVARA APS
"EMSAM 12 mg/24 h, dispositif transdermique",selegiline,, ,,,,MYLAN
"EMSAM 6 mg/24h, dispositif transdermique",selegiline,, ,,,,MYLAN
"EMSAM 9 mg/24h, dispositif transdermique",selegiline,, ,,,,MYLAN
"MODALINA 1 mg, comprimé",Trifluopérazine,, ,,,,LABORATORIO FARMACEUTICO SIT SPECIALITÀ IGIENICO TERAPEUTICHE
"NARDELZINE 15 mg, comprimé",phénelzine (sulfate),, ,,,,PFIZER
"NARDIL 15 mg, comprimé",phénelzine,, ,,,,PFIZER
"TRANYLCYPROMINE 10 mg, comprimé",tranylcypromine,, ,,,,GOLDSHIELD PHARMACEUTICALS LTD
"ZELDOX 40  mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,,,PFIZER PHARMA GMBH
"ZELDOX 60 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,,,PFIZER
"DOTA-NOC 50 µg, poudre pour solution injectable",DOTA-[Nal3]-octreotide,, ,,,,IASON LABORMEDEZIN GMBH
"PSMA-11 10 µg, poudre pour solution injectable",DKFZ-PSMA-11 (ou PSMAHBED-CC),, ,,,,IASON LABORMEDEZIN GMBH
"PSMA-617  40 µg/GBq, poudre pour solution injectable", /,, ,,,,"ENDOCYTE, INC"
"DESURIC 100 mg, comprimé sécable",benzbromarone,, ,,,,PROSTRAKAN PHARMA BV
"METHOTREXATE ROSEMONT 2MG/ML, solution buvable",méthotrexate,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"MYOCRISIN 100 mg/ml, solution injectable",sodium aurothiomalate,, ,,,,SANOFI
"RILONACEPT REGENERON 80 mg/ml, solution injectable",rilonacept,, ,,,,REGENERON PHARMACEUTICALS INC
"CTL019, suspension injectable",tisagenlecleucel-T,, ,,,,NOVARTIS PHARMA GMBH
"MYOCHOLINE 10 mg, comprimé",béthanéchol (chlorure),, ,,,,GLENWOOD GMBH
"MYOCHOLINE 25 mg, comprimé sécable",béthanéchol (chlorure),, ,,,,GLENWOOD GMBH
"PMS-OXYBUTYNIN 1 mg/ml, sirop",chlorhydrate d'oxybutynine,, ,,,,PHARMASCIENCE INC.
"POTABA 3 g, poudre pour suspension buvable",potassium (paraaminobenzoate),, ,,,,CHEPLAPHARM ARZNEIMITTEL GMBH
"RIMSO-50 50% p/p, solution pour administration intravésicale",diméthylsulfoxyde,, ,,,,BIONICHE PHARMA GROUP LIMITED
"VAXIGRIP HS, suspension injectable","Vaccin grippal (inactivé, à virion fragmenté)",, ,,,,SANOFI PASTEUR
"VAXIGRIP TETRA HS, suspension injectable","vaccin grippal quadrivalent (inactivé, à virion fragmenté)",, ,,,,SANOFI PASTEUR
"CIDOFOVIR 75 mg/ml, solution injectable",cidofovir,, ,,,,EMCURE PHARMACEUTICALS LTD
"CMX 001 10 mg/ml, suspension buvable",brincidofovir,, ,,,,CHIMERIX
"CMX 001 100 mg, comprimé",brincidofovir,, ,,,,CHIMERIX
"LETERMOVIR 240 mg, comprimé",letermovir,, ,,,,MERCK SHARP & DOHME - CHIBRET
"LETERMOVIR 240 mg, solution à diluer pour perfusion",letermovir,, ,,,,MERCK SHARP & DOHME GMBH
"LETERMOVIR 480 mg, solution à diluer pour perfusion",letermovir,, ,,,,MERCK SHARP & DOHME GMBH
"RILPIVIRINE 600 mg/2 ml, suspension injectable",rilpivirine,, ,,,,JANSSEN RESEARCH AND DEVELOPMENT
"VIRAZOLE 100 mg/ml, solution à diluer pour perfusion",ribavirine,, ,,,,MEDA PHARMA GMBH
"ZANAMIVIR 10 mg/ml, solution à diluer pour perfusion",zanamivir,, ,,,,GLAXOSMITHKLINE
"NERVIFENE 100 mg/ml, solution buvable",chloral (hydrate),, ,,,,INTERDELTA SA
"MARINOL 2,5 mg, capsule molle",dronabinol,, ,,,,ABBVIE INC
"NEURONTIN 250 mg/ 5ml, solution buvable",gabapentine,, ,,,,PFIZER INC
"NOLOTIL 2 g/5 ml, solution injectable",métamizole magnésium,, ,,,,BOEHRINGER INGELHEIM
"ZOSTRIX 0,025%, crème",capsaïcine,, ,,,,HEALTH CARE PRODUCTS
"ZOSTRIX 0,033%, crème",capsaïcine,, ,,,,AKORN CONSUMMER HEALTH
"ZOSTRIX 0,1%, crème",capsaïcine,, ,,,,AKORN CONSUMMER HEALTH
"ZOSTRIX HP 0,075%, crème",capsaïcine,, ,,,,HEALTH CARE PRODUCTS
"ARIKAYCE 70 mg/ml, suspension pour inhalation par nébuliseur",amikacine liposomale,, ,,,,INSMED INCORPORATED
"CAPASTAT 1 g, poudre pour solution injectable",capréomycine (sulfate),, ,,,,VIANEX SA
"CEFTAZIDIME AVIBACTAM 2g/0,5g, poudre pour solution pour perfusion",ceftazidime avibactam,,16/01/2017,,,,ASTRA ZENECA
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,,,KING PHARMACEUTICALS LTD
"PAS-FATOL 11,82 g, poudre pour solution pour perfusion",acide aminosalicylique,, ,,,,RIEMSER PHARMA GMBH
"PDP-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,,,PENDOPHARM
"ANTICHOLIUM 2 mg/5 ml, solution injectable",physostigmine (salicylate),, ,,,,LABORATOIRE KOHLER CHEMIE
"LEGALON-SIL 350 mg, poudre pour solution injectable",silibinine,, ,,,,LABORATOIRES ROTTAPHARMA
"LAM-002A 25 mg, gélule",apilimod,, ,,,,LAM THERAPEUTICS
"ABT-414 20 mg, poudre pour solution à diluer pour perfusion",dépatuxizumab mafodotine,, ,,,,ABBVIE
"ALECTINIB 150 mg, gélule",alectinib,,16/05/2017,,,,ROCHE - CENTRE DE DISTRIBUTION
"ALISERTIB 10 mg, comprimé",alisertib,, ,,,,TAKEDA FRANCE
"ATEZOLIZUMAB 60 mg/ml, solution à diluer pour perfusion",atezolizumab,,20/12/2017,,,,ROCHE
"AVELUMAB 20 mg/ml, solution pour perfusion",avelumab,,11/12/2017,,,,MERCK KGAA
"AZD4547 20 mg, comprimé", ,, ,,,,ASTRA ZENECA
"BRIGATINIB 30 mg, comprimé",brigatinib,, ,,,,ARIAD PHARMACEUTICALS
"BRIGATINIB 90 mg, comprimé",brigatinib,, ,,,,ARIAD PHARMACEUTICALS
"CEENU 10 mg, gélule",lomustine-CCNU,, ,,,,BRISTOL-MYERS SQUIBB CANADA
"CRIZOTINIB PFIZER NOURRISSONS ET ENFANTS 25 mg/ml, solution buvable",crizotinib,, ,,,,PFIZER
"DINUTUXIMAB BETA APEIRON 4,5 mg/ml, solution à diluer pour perfusion",dinutuximab,, ,,,,EUSA PHARMA
"ERDAFITINIB 3 mg, comprimé",erdafitinib,, ,,,,JANSSEN-CILAG
"ERDAFITINIB 4 mg, comprimé",erdafitinib,, ,,,,JANSSEN-CILAG
"ERDAFITINIB 5 mg, comprimé",erdafitinib,, ,,,,JANSSEN-CILAG
"ETO-GRY 20 mg/ml, solution injectable",étoposide,, ,,,,TEVA GMBH
"HEXALEN 50 mg, gélule",altrétamine,, ,,,,EISAI  INC
"IMFINZI 50MG/ML, solution injectable",durvalumab,, ,,,,ASTRA ZENECA
"LORLATINIB 100 mg, comprimé",lorlatinib,, ,,,,PFIZER
"LORLATINIB 25 mg, comprimé",lorlatinib,, ,,,,PFIZER
"LORLATINIB 50 mg, comprimé",lorlatinib,, ,,,,PFIZER
"PAZOPANIB 50 mg/ml, solution buvable",pazopanib,, ,,,,NOVARTIS PHARMA SERVICES AG
"SONIDEGIB 50 mg/ml, poudre et solvant pour suspension buvabie",sonidegib,, ,,,,SUN PHARMACEUTICALS FRANCE
"TIPIFARNIB 300 mg, comprimé",tipifarnib,, ,,,,"KURA ONCOLOGY, INC"
"TRC105 25 mg/ml, solution pour perfusion",carotuxomab,, ,,,,"TRACON PHARMACEUTICALS, INC"
"VISTOGARD, granulés",uridine triacetate,, ,,,,WELLSTAT THERAPEUTICS
"ZEJULA 100 mg, gélule",niraparib,, ,,,,TESARO BIO
"CUSTODIOL, solution pour perfusion",,, ,,,,LABORATOIRE KOHLER CHEMIE
"DEMSER 250 mg, gélule",métyrosine,, ,,,,ATON PHARMA
"DOPS OD 100 mg, comprimé orodispersible",droxidopa,, ,,,,SUMITOMO PHARMACEUTICAL CO LTD
"DOPS OD, comprimé orodispersible",droxidopa,, ,,,,SUMITOMO PHARMACEUTICAL CO LTD
"MARCOUMAR 3 mg, comprimé sécable",phenprocoumone,, ,,,,HOFFMANN-LA-ROCHE SA
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,,,LABORATOIRE INRESA
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,,,LABORATOIRE INRESA
"NIFEDIPINE RATIOPHARM 20 mg/ml, solution buvable en gouttes",nifédipine,, ,,,,RATIOPHARM GMHB
"NIMOTOP 30 mg/ 0,75 ml, solution buvable en gouttes",nimodipine,, ,,,,BAYER SPA
"NITROPRUSSIAT FIDES 50 mg/5mL, solution injectable",nitroprussiate de sodium,, ,,,,KOMTUR PHARMACEUTICALS
"NOYADA 25 mg/5 ml, solution buvable",captopril,,11/09/2017,,,,MARTINDALE PHARMACEUTICALS LIMITED
"NOYADA 5 mg/5 ml, solution buvable",captopril,,11/09/2017,,,,MARTINDALE PHARMACEUTICALS LIMITED
"PHENTOLAMINE MESYLATE SANDOZ  5 mg/ml, solution injectable",phentolamine (mésilate de),, ,,,,SANDOZ CANADA
"PICIBANIL 1KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,,,CHUGAI PHARMA FRANCE
"PROPRANOLOL (ANCIEN SYPROL) 10 mg/5 ml, solution buvable",propranolol,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"PROPRANOLOL (ANCIEN SYPROL) 5 mg/5 ml, solution buvable",propranolol,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"SIMDAX, solution pour perfusion",levosimendan,, ,,,,ORION PHARMA LTD
"WARFARIN SODIUM 1 mg/ml, suspension buvable",warfarine sodique,, ,,,,ROSEMONT PHARMACEUTICALS LTD
"ANTIVIPMYN TRI, solution injectable",Immunoglobulines équines,, ,,,,INSTITUTO BIOCLON S.A. DE C.V.
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,,PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,,,SANOFI PASTEUR S.A.
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,,,CSL BEHRING GMBH
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,,,BAXTER SAS
"KEDRION HUMAN PLASMINOGEN 1 mg/ml, collyre en solution",plasminogène humain,, ,,,,KEDRION S.P.A.
"LONOMIA  ANTIVENOM, solution injectable",immunoglobulin F(ab')2 antivenin,, ,,,,INSTITUT BUTANTAN
"SCORPIFAV 1 ml, solution pour perfusion",fragments F(ab’)2 immunoglobulines équines,, ,,,,SANOFI PASTEUR
"BIOBAG, sachet",larves de Lucilia sericata,, ,,,,BIOMONDE GMBH
"BYL719 200 mg, comprimé pelliculé",BYL719,, ,,,,NOVARTIS PHARMA S.A.S.
"BYL719 50 mg, comprimé pelliculé",BYL719,, ,,,,NOVARTIS PHARMA S.A.S.
"DAPSONE 50 mg, comprimé",dapsone,, ,,,,ACTAVIS LTD
"DUPILUMAB 150 mg/ml, solution injectable",dupilumab,, ,,,,SANOFI AVENTIS
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,,,MYLAN INSTITUTIONAL LLC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,,,MYLAN INSTITUTIONAL LLC
"TREMFYA 100 mg, solution injectable",guselkumab,, ,,,,JANSSEN-CILAG
"XEPIN 5%, crème",doxepin hydrochloride,, ,,,,CAMBRIDGE HEALTHCARE SUPPLIES LTD
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,,,CORNERSTONE THERAPEUTICS INC.
"ZYFLO CR 600 mg, comprimé à libération prolongée",zileuton,, ,,,,CORNERSTONE THERAPEUTICS INC.
"GLIBENTEK 0.6 mg/ml, solution buvable",glibenclamide,, ,,,,UNITHER DEVELOPPEMENT BORDEAUX
"GLIBENTEK 6 mg/ml, solution buvable",glibenclamide,, ,,,,UNITHER DEVELOPPEMENT BORDEAUX
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,,,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,,,ALLIANCE PHARMACEUTICALS
"LODOSYN 25 mg, comprimé",carbidopa,, ,,,,ATON PHARMA
"METRELEPTINE 11,3 mg, poudre pour solution injectable",métréleptine,, ,,,,"AEGERION PHARMACEUTICALS, INC."
"OXANDROLONE 10 mg, comprimés", oxandrolone,, ,,,,AMERICAN HEALTH PACKAGING
"OXANDROLONE 2,5 mg, comprimé",oxandrolone,, ,,,,AMERICAN HEALTH PACKAGING
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,,,TEVA GLOBAL
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,,,VALEANT PHARMACEUTICALS NORTH AMERICA LLC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,,,SERB
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,,,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,,,DR FALK PHARMA GMBH
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,,,ALLIANCE PHARMACEUTICALS
"XELJANZ 5 mg, comprimé",tofacitinib,,17/07/2017,,,,PFIZER
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,,,LEADIANT BIOSCIENCES LTD.
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,,GENZYME S.A.S
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,,,ROSEMONT PHARMACEUTICALS LTD
"EMICIZUMAB  150 mg/ml, solution injectable",emicizumab,, ,,,,ROCHE
"ENASIDENIB 100 mg, gélule",enasidenib,, ,,,,CELGENE FRANCE
"HAEGARDA  2000 UI, poudre pour solution injectable",inhibiteur de C1 esterase,, ,,,,CSL BEHRING GMBH
"INOTUZUMAB OZOGAMICINE 1mg, poudre et solvant pour solution pour perfusion",inotuzumab ozogamicine,,30/09/2017,,,,PFIZER
"IPH 4102 15 mg/ml, solution pour perfusion",IPH 4102,, ,,,,THERADIS PHARMA
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,,,CELGENE FRANCE
"IVOSIDENIB  250 mg, comprimé",ivosidenib,, ,,,,AGIOS PHARMACEUTICAL INC
"IXAZOMIB 3 mg, gélule",ixazomib,,02/05/2017,,,,TAKEDA FRANCE
"IXAZOMIB 4 mg, gélule",ixazomib,,02/05/2017,,,,TAKEDA FRANCE
"MARQIBO KIT, solution pour perfusion",vincristine liposomale,, ,,,,TALON THERAPEUTICS
"MIDOSTAURINE 25 mg, capsule molle",midostaurine,,15/11/2017,,,,NOVARTIS PHARMA S.A.S.
"MIDOSTAURINE 25 mg/ml, suspension buvable",midostaurine,, ,,,,NOVARTIS PHARMA S.A.S.
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,, ,,,,PFIZER
"NUTRESTORE 5 g, poudre orale",L-glutamine,, ,,,,EMMAUS MEDICAL
"OMACETAXINE MEPESUCCINATE 3,5 mg, poudre pour solution injectable",omacétaxine mépésuccinate (homoharringtonine),, ,,,,STRAGEN
"VALCHLOR, gel pour application cutanée",chlorméthine ou méchloréthamine,, ,,,,ACTELION PHARMACEUTICALS FRANCE
"VENETOCLAX ABBVIE 10 mg, comprimé pelliculé",vénétoclax,,15/02/2017,,,,ABBVIE
"VENETOCLAX ABBVIE 100 mg, comprimé pelliculé",vénétoclax,,15/02/2017,,,,ABBVIE
"VENETOCLAX ABBVIE 50 mg, comprimé pelliculé",vénétoclax,,15/02/2017,,,,ABBVIE
"VORAXAZE 1000 UI, poudre pour solution pour perfusion",carboxypeptidase  G2,, ,,,,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"VOSAROXIN 10mg/ml, solution injectable", vosaroxin,, ,,,,SUNESIS PHARMACEUTICALS INC
"ZOLINZA 100 mg, gélule",vorinostat,, ,,,,MERCK SHARP & DOHME - CHIBRET
"BOTULISM ANTITOXIN BEHRING, solution pour perfusion","antitoxines botuliques de type A, B et E",, ,,,,NOVARTIS VACCINES AND DIAGNOSTICS GMBH & CO. KG
"DIPHTERIA ANTITOXIN (EQUINE) 1000 IU/ml, solution injectable",immunoglobuline équine antidiphtérique,, ,,,,INTERVAX
"CYTOTECT CP BIOTEST 100 U/ml, solution pour perfusion",Immunoglobulines humaines anti-CMV,, ,,,,BIOTEST PHARMA GMBH
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,,,BIOTEST PHARMA GMBH
"CABOTEGRAVIR 30 mg, comprimé",cabotegravir,, ,,,,VIIV HEALTHCARE
"CABOTEGRAVIR 400 mg/2 ml, suspension injectable",cabotegravir,, ,,,,VIIV HEALTHCARE
"GLECAPREVIR/PIBRENTASVIR 100 mg/40 mg, comprimé pelliculé",glecaprevir/pibrentasvir,,26/10/2017,,,,ABBVIE DEUTSCHLAND GMBH & CO. KG
"MARIBAVIR 200 mg, comprimé",maribavir,, ,,,,SHIRE FRANCE
"SOFOSBUVIR/VELPATASVIR/VOXILAPREVIR 400mg/100mg/100mg, comprimé pelliculé",sofosbuvir/velpatasvir/voxilaprevir,,01/09/2017,,,,GILEAD SCIENCES
"BMN 190 150 mg, solution pour perfusion",cerliponase alpha,, ,,,,BIOMARIN EUROPE LIMITED
"CHENODEOXYCHOLIC ACID LEADIANT 250 mg, gélule",chenodesoxycholique acide,,21/07/2017,,,,LEADIANT BIOSCIENCES LTD.
"ELELYSO 200 U, poudre pour solution pour perfusion",taliglucérase alfa,, ,,,,PFIZER
"LAMAZYM 10 mg, poudre pour solution pour perfusion",velmanase alfa,, ,,,,CHIESI SA
"L-ARGININ-HYDROCHLORID B BRAUN  21%, solution à diluer pour perfusion",arginine (chlorhydrate),, ,,,,B BRAUN
"PHOSPHATE SANDOZ 500 mg, comprimé effervescent",phosphate disodique anhydre,, ,,,,HK PHARMA LTD
"PREFOLIC 15 mg, comprimé gastro-résistant",5 méthyl-tétrahydrofolate,, ,,,,ZAMBON ITALIA SRL
"PROHIPPUR 750 mg/g, granules",benzoate de sodium,, ,,,,LUCANE PHARMA
"SAMYR 200 mg, comprimé gastro-résistant",ademetionine,, ,,,,ABBOTT ITALIA
"SAMYR 200 mg/5 mL, solution injectable",ademetionine,, ,,,,ABBOTT ITALIA
"SUCRAID 8500 UI/ml, solution buvable",sacrosidase,, ,,,,QOL MEDICAL
"TRIENTINE DICHLORHYDRATE 300 mg, gélule",trientine (dichlorhydrate),, ,,,,UNIVAR LTD
"UX003  2 mg/ml, solution pour perfusion",rh-BETA GLUCURONIDASE,, ,,,,ULTRAGENYX PHARMACEUTICAL INC
"UX007, solution buvable",triheptanoin,, ,,,,ULTRAGENYX PHARMACEUTICAL INC
"ELMISOL 10 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"ELMISOL 25 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"ELMISOL 5 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"ELMISOL 50 mg, comprimé",lévamisole,, ,,,,ACE PHARMACEUTICALS
"INDOCIN 25 mg/5 ml, suspension buvable",indométacine,, ,,,,IROKO
"INDO-PAED 25 mg/5 ml, suspension buvable",indométacine,, ,,,,1 A PHARMA
"UROCIT-K 10 meq (1080 mg), comprimé",potassium (citrate),, ,,,,MISSION PHARMACAL
"UROCIT-K 5 meq (540 mg), comprimé",potassium (citrate de),, ,,,,MISSION PHARMACAL
"AGOMELATINE 5 mg, comprimé",agomélatine,, ,,,,LABORATOIRE SERVIER INDUSTRIE
"AMANTADINE HYDROCHLORIDE 50 mg/5 ml, sirop",amantadine,, ,,,,AUDEN MCKENZIE (PHARMA DIVISION) LTD
"ANTAXONE 50 mg/10 ml, solution buvable",naltrexone (chlorhydrate),, ,,,,PHARMAZAM S.A.
"ATTENTIN 5 mg, comprimé",dexamphétamine,, ,,,,H.A.C. PHARMA
"BELLAFIT 0,5 mg/ml, solution buvable en gouttes",atropine (sulfate),, ,,,,G. STREULI AND CIE. SA
"BREVIMYTAL HIKMA 500 mg, poudre pour solution injectable",méthohexital sodique,, ,,,,HIKMA PHARMA GMBH
"DIBRO-BE MONO 850 mg, comprimé sécable",potassium (bromure),, ,,,,DIBROPHARM ARZNEIMITTEL
"EDROPHONIUM INJECTION BP 10mg/1ml, solution injectable",édrophonium (chlorure),, ,,,,CAMBRIDGE LABORATORIES LIMITED
"ENLON, solution injectable",édrophonium (chlorure),, ,,,,MYLAN INSTITUTIONAL LLC
"EPANUTIN 30 mg/5 ml, suspension buvable",phénytoïne,, ,,,,PFIZER PGM
"EPHEDRINE HYDROCHLORIDE  15 mg, comprimé",éphédrine (chlorhydrate),, ,,,,WOCKHARDT UK LTD
"EPIDIOLEX 100 mg/ml, solution orale",cannabidiol,, ,,,,GW PHARMACEUTICALS
"GUTRON 10 mg/ml, solution buvable en gouttes",midodrine,, ,,,,NYCOMED
"KEVEYIS 50 mg, comprimé",dichlorphenamide,, ,,,,TARO PHARMACEUTICAL
"LIORESAL 5mg/5ml, solution buvable",baclofène,, ,,,,NOVARTIS PHARMACEUTICALS UK LTD
"LORAZEPAM 4 mg/ml, solution injectable",lorazepam,, ,,,,WEST-WARD PHARMACEUTICALS
"MESTINON  60 mg/5 ml, sirop",pyridostigmine (bromure),, ,,,,VALEANT PHARMACEUTICALS NORTH AMERICA
"MNESIS 45 mg, comprimé",idébénone,, ,,,,TAKEDA ITALIA FARMACEUTICAL
"NEOSTIGMINE BROMIDE 15 mg, comprimé",néostigmine (bromure),, ,,,,ALLIANCE PHARMACEUTICALS
"NEOTON 1 g, poudre et solvant pour solution injectable",créatine phosphate,, ,,,,SEARLE FARMACEUTICI
"NUSINERSEN 2,4 mg/ml, solution injectable pour voie intrathécale",nusinersen,,21/08/2017,,,,BIOGEN VIA CLINIGEN
"OLESOXIME 100 mg/ml, poudre pour suspension buvable",olesoxime,, ,,,,ROCHE
"OSPOLOT 200 mg, comprimé sécable",sultiame,, ,,,,LABORATOIRES INRESA
"OSPOLOT 50 mg, comprimé",sultiame,, ,,,,LABORATOIRES INRESA
"PETINIMID 250 mg, gélule",éthosuximide,, ,,,,ORION PHARMA AG
"PRIDOPIDINE 45 mg, comprimé",pridopidine,, ,,,,NEUROSEARCH
"PROSTIGMIN 15 mg, comprimé",neostigmine bromide,, ,,,,VALEANT PHARMACEUTICALS NORTH AMERICA
"QIZENDAY 100 mg, gélule",biotine,, ,,,,BLUE-REG PHARMA CONSULT
"RADICUT 30 mg/100 ml, solution injectable",edavarone,, ,,,,MT PHARMA AMERICA
"SALBUMOL 2 mg, comprimé",salbutamol,, ,,,,GLAXOSMITHKLINE FRANCE
"SIRDALUD 4 mg, comprimé sécable",tizanidine,, ,,,,NOVARTIS PHARMA SA
"STRATTERA 10 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 18 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 25 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 40 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"STRATTERA 60 mg, gélule",atomoxétine,, ,,,,LILLY FRANCE SA
"TRAZOLAN 100 mg, comprimé pelliculé",trazodone (chlorhydrate),, ,,,,CONTINENTAL PHARMA INC.
"TRITTICO RETARD 150 mg, comprimé",trazodone (chlorhydrate),, ,,,,CSC PHARMACEUTICALS HANDELS GMBH
"UBICOR 50 mg/10 ml, poudre et solvant pour suspension buvabie",ubidécarénone,, ,,,,MAGIS FARMACEUTICI SPA
"UBITEN 10 mg, comprimé",ubidécarénone,, ,,,,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg, gélule",ubidécarénone,, ,,,,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg/10 ml, solution buvable",ubidécarénone,, ,,,,ITALFARMACO SPA
"VENTOLIN 2 mg/5 ml, sirop",salbutamol,, ,,,,GLAXOSMITHKLINE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,,,AVENTIS PHARMA LIMITED
"CYSTADROPS 0,55%, collyre en solution",cystéamine chlorhydrate,,23/09/2017,,,,ORPHAN EUROPE
"GS 101  0,86 mg/ml, collyre en solution, en récipient unidose",aganirsen,, ,,,,STRAGEN
"NATACYN 5%, collyre en suspension",natamycine,, ,,,,NOVARTIS PHARMA S.A.S.
"OXERVATE 20µg/ml, collyre en solution",cénégermine,,09/10/2017,,,,DOMPE FARMACEUTICI S.P.A.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,,,ALLERGAN PHARMACEUTICALS IRELAND
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,,,ALLERGAN
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,,,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,,,ROMARK PHARMACEUTICALS
"HUMATIN 125 mg, solution buvable",paromomycine (sulfate),, ,,,,PFIZER PHARMA GMBH
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,,,PFIZER PHARMA GMBH
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,,,PAESEL & LOREI GMBH & CO
"IVOMEC PORCIN 10 mg/ml, solution injectable",ivermectine,, ,,,,MERIAL
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,,,LABORATOIRE LAFEPE
"LAMPIT 120 mg, comprimé",nifurtimox,, ,,,,BAYER HEALTHCARE PHARMA
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,,ACE PHARMACEUTICALS
"PRIMAQUINE 15 mg (base), comprimé",primaquine (diphosphate),, ,,,,SANOFI-AVENTIS
"PRIMAQUINE 7,5 mg (base), comprimé",primaquine (diphosphate),, ,,,,DURBIN PLC
"TRECATOR 250 mg, comprimé",ethionamide,, ,,,,WYETH PHARMACEUTICALS INC
"VERMOX 500 mg, comprimé",mébendazole,, ,,,,JANSSEN RESEARCH AND DEVELOPMENT
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,,,GENZYME CORPORATION
